t,x,y,z,roll,pitch,yaw
36.70000,14.72000,-0.00176,0.29675,-0.00227,0.00536,-0.00000
36.80000,14.76000,-0.00185,0.29594,-0.00021,0.00432,0.00000
36.90000,14.80000,-0.00198,0.29521,0.00182,0.00321,-0.00000
37.00000,14.84000,-0.00215,0.29459,0.00376,0.00203,0.00000
37.10000,14.88000,-0.00238,0.29407,0.00552,0.00078,0.00000
37.20000,14.92000,-0.00265,0.29366,0.00702,-0.00054,0.00000
37.30000,14.96000,-0.00297,0.29337,0.00823,-0.00192,0.00000
37.40000,15.00000,-0.00332,0.29319,0.00910,-0.00334,0.00000
37.50000,15.04000,-0.00371,0.29313,0.00961,-0.00478,0.00000
37.60000,15.08000,-0.00413,0.29318,0.00977,-0.00620,0.00000
37.70000,15.12000,-0.00456,0.29335,0.00959,-0.00758,0.00000
